title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
금능해수욕장,10,42.0,2022-09-12,25.5,28,23,40,4,229.81633
신창풍차해안도로,9,217.0,2022-09-10,24.041666666666668,26,22,30,4,227.44838
성산포종합여객터미널,2,180.0,2022-09-16,25.0,27,23,40,4,227.10632
중문색달해변,5,384.0,2022-09-17,26.0,29,23,40,4,226.63815
신창풍차해안도로,9,217.0,2022-09-09,23.83333333333333,26,22,20,4,226.57385
성산포종합여객터미널,2,180.0,2022-09-12,25.0,27,23,40,4,226.3949
신창풍차해안도로,9,217.0,2022-09-08,23.791666666666668,26,22,20,4,225.44376
신창풍차해안도로,9,217.0,2022-09-17,25.5,28,23,40,4,224.86578
아쿠아플라넷제주,2,231.0,2022-09-13,25.0,27,23,80,4,224.39687
금능해수욕장,10,42.0,2022-09-07,22.0,22,22,0,4,223.27443
성산포종합여객터미널,2,180.0,2022-09-10,25.0,26,24,30,4,222.6756
9.81파크,7,4.0,2022-09-12,25.5,27,24,40,4,221.65596
금능해수욕장,10,42.0,2022-09-10,23.875,26,21,30,4,220.95961
천지연폭포,5,400.0,2022-09-17,26.0,29,23,40,4,220.89825
김녕해수욕장,6,50.0,2022-09-08,23.5,26,21,20,4,220.5135
천지연폭포,5,400.0,2022-09-09,25.041666666666668,28,23,20,4,220.2382
주상절리대,5,382.0,2022-09-12,25.5,27,24,40,4,220.14207
9.81파크,7,4.0,2022-09-16,26.0,28,24,40,4,218.57292
신창풍차해안도로,9,217.0,2022-09-07,23.0,23,23,0,4,218.27986
주상절리대,5,382.0,2022-09-10,25.416666666666668,27,24,30,4,217.68811
주상절리대,5,382.0,2022-09-09,25.041666666666668,28,23,20,4,217.36028
김녕해수욕장,6,50.0,2022-09-16,25.0,27,23,40,4,215.76375
김녕해수욕장,6,50.0,2022-09-12,25.0,27,23,40,4,215.37277
9.81파크,7,4.0,2022-09-14,26.0,28,24,40,4,214.46007
9.81파크,7,4.0,2022-09-11,25.0,27,23,40,4,213.79599
9.81파크,7,4.0,2022-09-13,25.5,27,24,80,4,213.79349
성산포종합여객터미널,2,180.0,2022-09-14,26.0,28,24,40,4,213.38367
천지연폭포,5,400.0,2022-09-14,26.0,28,24,40,4,212.57076
성산포종합여객터미널,2,180.0,2022-09-15,26.0,28,24,40,4,212.24605
중문색달해변,5,384.0,2022-09-16,26.0,28,24,40,4,211.57372
중문색달해변,5,384.0,2022-09-14,26.0,28,24,40,4,211.35388
신창풍차해안도로,9,217.0,2022-09-12,25.5,28,23,40,4,210.79459
9.81파크,7,4.0,2022-09-15,26.0,28,24,40,4,210.56792
신창풍차해안도로,9,217.0,2022-09-14,26.5,29,24,40,4,210.49638
중문색달해변,5,384.0,2022-09-15,26.0,28,24,40,4,210.21626
김녕해수욕장,6,50.0,2022-09-13,25.0,27,23,80,4,210.20139
쇠소깍,5,199.0,2022-09-13,25.5,27,24,80,4,209.83281
신창풍차해안도로,9,217.0,2022-09-15,26.0,28,24,40,4,209.35876
스누피가든,6,212.0,2022-09-08,23.5,26,21,20,4,209.18741
주상절리대,5,382.0,2022-09-08,25.541666666666668,29,22,20,4,208.92313
천지연폭포,5,400.0,2022-09-10,25.416666666666668,27,24,30,4,208.89896
천지연폭포,5,400.0,2022-09-15,26.0,28,24,40,4,208.77312
주상절리대,5,382.0,2022-09-17,26.0,29,23,40,4,208.73445
월정리해변,6,283.0,2022-09-08,23.5,26,21,20,4,208.35402
